1000 5099
3 1 63
10 6 52
22 6 5
24 7 35
28 1 58
32 13 48
37 33 20
43 0 79
43 24 191
48 41 63
49 24 18
49 28 241
51 18 48
54 16 5
54 52 308
55 9 136
55 25 91
56 14 111
57 49 6
58 19 22
58 29 78
58 30 44
60 26 91
62 27 18
66 64 67
71 59 211
75 52 209
78 73 66
80 31 60
81 52 7
82 34 47
82 69 116
84 83 10
86 67 91
87 24 29
87 58 16
89 68 38
90 38 58
90 66 56
90 84 48
91 50 39
92 25 138
93 32 57
93 68 42
95 10 53
96 16 19
98 3 54
98 41 5
99 10 195
99 24 188
99 25 7
99 60 128
100 41 28
100 76 183
103 4 199
104 76 5
105 86 113
106 27 52
106 50 89
107 25 177
107 64 50
110 16 65
110 77 93
112 73 62
113 4 54
115 79 166
118 13 55
118 55 58
118 99 273
120 79 160
123 13 143
123 100 262
124 18 76
124 29 46
125 41 150
125 67 50
126 92 63
128 26 156
128 51 82
130 18 31
130 63 403
130 119 42
132 110 64
133 50 38
133 88 203
135 49 67
135 62 17
137 66 45
140 61 36
140 108 44
141 49 82
142 101 181
143 78 95
143 104 37
144 66 93
145 32 95
145 107 34
146 131 151
149 27 32
149 31 73
149 122 5
152 10 11
152 26 216
152 80 42
152 119 46
153 41 113
153 126 14
154 12 115
155 53 89
155 78 297
156 20 111
156 79 46
157 5 161
157 10 5
157 71 34
159 73 511
159 91 66
160 9 5
160 22 13
160 51 5
160 81 361
160 153 24
161 150 86
162 30 31
163 46 51
163 155 39
164 42 44
166 26 139
167 12 272
167 149 117
168 40 21
168 137 151
168 154 28
169 56 86
169 80 5
169 124 39
170 23 270
170 62 6
172 92 119
172 108 79
173 67 75
173 172 76
175 5 5
175 39 5
175 156 66
176 124 29
176 126 17
177 96 90
177 148 101
178 27 8
178 45 299
179 14 159
180 68 86
181 111 449
182 39 5
182 48 67
184 18 9
184 86 101
185 73 102
185 158 16
187 53 139
187 65 27
187 71 93
187 85 61
187 96 120
187 117 157
187 184 5
