10 45
1 0 13
2 0 90
2 1 77
3 0 348
3 1 8
3 2 49
4 0 293
4 1 63
4 2 32
4 3 103
5 0 62
5 1 187
5 2 43
5 3 166
5 4 183
6 0 324
6 1 65
6 2 114
6 3 7
6 4 93
6 5 78
7 0 40
7 1 59
7 2 192
7 3 188
7 4 85
7 5 290
7 6 146
8 0 47
8 1 75
8 2 330
8 3 19
8 4 5
8 5 60
8 6 70
8 7 29
9 0 5
9 1 77
9 2 49
9 3 25
9 4 215
9 5 79
9 6 25
9 7 13
9 8 222
45
1 0 ?
2 0 ?
2 1 ?
3 0 ?
3 1 ?
3 2 ?
4 0 ?
4 1 ?
4 2 ?
4 3 ?
5 0 ?
5 1 ?
5 2 ?
5 3 ?
5 4 ?
6 0 ?
6 1 ?
6 2 ?
6 3 ?
6 4 ?
6 5 ?
7 0 ?
7 1 ?
7 2 ?
7 3 ?
7 4 ?
7 5 ?
7 6 ?
8 0 ?
8 1 ?
8 2 ?
8 3 ?
8 4 ?
8 5 ?
8 6 ?
8 7 ?
9 0 ?
9 1 ?
9 2 ?
9 3 ?
9 4 ?
9 5 ?
9 6 ?
9 7 ?
9 8 ?
