500 6342
5 2 50
8 4 55
9 6 342
11 1 33
12 4 139
14 2 22
14 5 5
14 7 141
14 11 145
18 7 5
19 17 61
20 10 136
22 11 147
22 12 87
24 2 178
24 9 204
25 5 94
27 21 89
29 3 72
31 8 5
31 13 83
32 6 74
32 22 199
34 8 104
35 1 97
35 6 124
35 15 47
35 25 89
36 3 70
36 20 5
36 24 44
37 27 59
38 9 25
38 18 62
38 20 147
38 21 76
39 10 199
40 0 48
40 7 207
40 12 73
40 17 91
42 4 12
42 28 381
43 6 38
44 26 7
45 9 20
45 23 12
46 10 13
46 15 80
46 30 135
47 2 63
47 15 28
47 37 28
48 43 7
48 45 33
49 8 171
49 22 5
49 25 5
50 7 41
51 7 86
52 9 23
52 14 41
52 26 7
52 31 28
52 40 236
53 7 56
53 22 76
53 50 251
54 31 55
54 34 134
54 35 24
56 0 158
56 26 48
56 47 284
57 1 522
57 21 35
57 52 18
58 6 15
58 38 174
59 4 5
59 39 79
59 43 11
59 49 125
59 55 116
59 57 40
60 49 144
60 57 33
61 48 5
61 52 68
62 20 114
62 25 125
62 55 36
63 1 92
63 43 199
64 50 243
65 21 26
66 49 68
67 5 47
67 8 30
67 9 13
67 25 46
67 48 44
68 24 61
68 28 87
69 20 91
69 22 15
69 33 49
69 53 301
70 7 24
70 28 5
70 41 124
70 42 20
70 60 43
71 0 135
71 3 51
71 7 5
71 15 114
71 39 65
71 52 169
71 57 5
72 3 14
72 29 6
73 0 46
73 31 412
73 37 6
73 53 103
73 69 146
74 25 47
74 26 196
74 42 46
74 59 21
75 26 107
75 71 24
76 7 232
76 9 89
76 33 25
76 45 48
76 51 96
76 54 15
76 61 371
76 64 103
77 12 32
77 14 198
77 16 70
77 29 45
77 37 17
78 3 34
78 5 96
78 25 133
78 33 73
79 8 29
79 12 99
79 16 120
79 71 28
80 42 71
80 64 58
80 79 30
81 40 92
81 44 15
81 48 18
81 52 171
81 74 227
81 76 6
82 2 141
82 28 35
82 32 65
82 33 219
82 60 14
82 63 73
82 71 29
82 76 17
83 8 71
83 11 5
83 74 56
84 26 205
84 34 5
84 38 108
85 20 18
85 28 62
85 48 46
85 61 5
85 62 57
85 77 88
85 82 67
86 1 143
86 3 158
86 21 169
86 30 11
86 42 160
86 45 122
86 62 359
86 66 325
86 68 354
86 69 10
86 80 138
87 6 221
87 23 14
87 71 39
87 79 38
88 17 5
88 25 76
88 70 11
88 75 328
88 76 92
88 80 5
89 13 30
89 51 249
89 54 12
89 55 367
89 59 45
89 71 64
90 5 10
90 13 57
90 41 67
90 47 20
90 60 100
90 80 72
91 58 420
91 72 121
91 84 107
91 90 11
92 73 249
93 34 84
93 64 353
93 85 5
94 5 15
94 49 5
94 89 50
95 3 121
95 7 5
95 55 123
95 75 59
95 76 44
95 94 86
96 0 117
96 3 23
96 41 204
96 45 53
96 52 48
96 55 5
96 61 29
96 79 25
97 5 46
97 10 85
97 37 58
97 40 48
97 55 53
97 79 12
97 88 62
97 95 60
98 5 28
98 9 52
98 21 26
98 25 5
98 30 246
98 35 262
98 79 5
98 81 208
98 83 71
98 90 270
99 24 64
99 56 5
99 71 28
99 77 155
99 80 114
100 38 49
100 49 12
100 50 47
100 70 83
101 26 17
101 30 7
101 65 45
101 84 59
101 90 178
102 22 31
102 34 100
102 42 5
102 68 7
102 91 147
102 95 61
103 12 76
103 16 61
103 33 27
103 36 66
103 41 380
103 52 136
103 54 37
103 73 23
103 79 81
103 96 131
103 99 204
104 44 76
104 49 161
104 62 5
104 64 176
104 78 25
105 31 64
105 37 66
105 88 190
105 94 5
106 24 90
106 51 158
106 93 116
106 102 5
107 7 63
107 75 213
107 103 404
108 2 30
108 6 57
108 10 132
108 21 12
108 48 72
108 50 98
108 52 116
109 1 16
109 5 37
109 13 25
109 42 5
109 47 80
109 50 202
109 51 101
109 53 218
109 76 40
109 81 47
109 82 5
110 49 289
110 54 17
110 55 169
110 66 55
110 98 156
111 2 128
111 30 198
111 70 227
111 81 7
112 4 254
112 14 77
112 49 71
112 52 5
112 57 104
112 58 205
112 74 62
113 1 119
113 28 60
113 30 16
113 34 12
113 45 92
113 77 51
113 81 41
113 108 127
114 37 48
114 51 16
114 52 52
115 87 275
115 102 183
116 32 33
116 70 213
116 74 7
116 77 45
116 101 22
117 20 29
117 38 5
117 46 42
117 53 192
117 72 168
117 74 17
117 86 30
117 87 41
117 102 86
117 111 140
117 114 214
118 15 46
118 21 13
118 33 136
119 29 208
119 75 153
119 78 83
119 115 6
120 14 80
120 30 58
120 34 72
120 48 48
120 56 33
121 10 55
121 26 176
121 45 239
121 74 5
121 117 128
122 0 275
122 105 18
123 25 79
123 41 42
123 51 190
123 53 51
123 58 77
123 71 65
123 117 51
123 119 187
124 6 371
124 24 145
124 39 60
124 48 76
124 55 13
124 73 109
124 107 53
124 123 239
125 68 251
126 5 50
126 8 530
126 21 5
126 45 48
126 71 115
126 72 16
127 13 16
127 89 36
128 26 5
128 33 80
128 57 191
128 60 277
128 66 93
128 84 146
128 89 327
129 2 171
129 11 81
129 57 127
129 68 5
130 17 62
130 99 5
130 102 291
130 125 71
130 127 79
131 8 137
131 19 47
131 65 115
131 80 27
131 95 27
131 99 64
131 122 13
132 1 75
132 36 57
132 41 197
132 61 5
132 64 113
132 65 124
132 73 78
132 93 102
133 60 165
133 73 178
133 78 36
133 79 226
133 80 8
133 103 13
133 105 54
134 1 19
134 103 362
134 125 13
135 5 30
135 10 189
135 45 47
135 59 9
135 77 242
135 84 61
135 89 100
135 127 19
136 16 79
136 29 244
136 34 133
136 39 80
136 58 20
136 64 157
136 81 136
136 93 114
136 104 27
136 113 213
136 135 88
137 5 95
137 10 46
137 16 5
137 70 220
137 79 5
137 83 9
137 97 40
137 101 127
137 107 16
137 120 49
138 18 38
138 59 78
138 75 57
138 88 67
138 124 6
138 133 290
139 41 162
139 58 33
139 68 46
139 112 85
139 134 17
140 12 46
140 38 61
140 44 58
140 50 5
140 75 75
140 94 6
140 114 139
140 126 87
140 138 56
141 7 30
141 22 91
141 77 12
141 88 329
141 115 156
141 117 140
142 8 108
142 45 44
142 50 102
142 59 41
142 60 64
142 72 154
142 77 90
142 135 282
143 53 85
143 90 54
143 118 110
144 3 7
144 13 99
144 27 35
144 42 44
144 45 8
144 54 15
144 55 111
144 60 94
144 71 62
144 85 114
144 116 147
144 119 39
144 136 14
145 12 5
145 32 336
145 36 31
145 48 142
145 62 30
145 64 75
145 98 189
145 117 11
145 130 116
146 7 33
146 52 42
146 91 23
146 137 109
147 9 100
147 51 96
147 53 160
147 66 60
147 89 86
147 111 73
147 141 177
147 142 16
148 5 38
148 17 61
148 33 158
148 53 201
148 55 127
148 75 531
148 82 109
148 98 103
148 123 7
148 133 16
149 18 85
149 21 145
149 25 21
149 28 261
149 63 14
149 69 127
149 76 14
149 82 110
149 118 199
149 142 95
150 22 394
150 45 35
150 48 26
150 50 23
150 59 31
150 78 55
150 93 11
150 106 5
151 38 5
151 54 38
151 133 43
151 135 28
151 144 23
152 63 136
152 66 43
152 79 7
152 81 174
152 82 181
152 121 578
152 139 29
152 148 10
152 150 39
153 17 74
153 39 110
153 49 275
153 53 24
153 85 56
153 104 39
153 108 67
154 37 168
154 42 61
154 98 71
154 113 69
154 122 203
155 22 135
155 49 52
155 51 16
155 61 107
155 86 62
155 90 147
155 116 28
155 124 85
155 133 10
155 147 64
156 33 25
156 55 192
156 59 112
156 65 202
156 76 29
156 89 318
